       lS     MSdm     omega
0.412719   81.3402  0.00979
6.29782    88.7552  0.000321
5.26892    83.9821  0.000229
9.06667    36.5514  0.000956
6.96988    70.7533  2.44e-05
9.38105    86.9507  0.000127
5.26572    77.885   0.000116
2.89593    67.6367  5.53e-05
3.08129    39.4049  0.000514
1.50584    27.6198  0.00308
7.2407     48.9937  0.00037
4.57439    95.1476  0.00097
3.6821     37.6096  0.00048
7.1051     20.7195  0.00101
1.25445    64.0112  3.49e-05
3.16905    39.5453  0.000493
8.97033    44.3736  0.000693
5.98558    32.5711  0.000615
1.53332    95.1791  0.008
2.9214     85.9814  0.00111
9.96405    83.8698  6.27e-05
8.75992    33.8285  0.000981
1.06557    75.7324  0.00225
7.11344    93.8223  0.000376
4.17838    72.4136  9.4e-05
1.43322    27.9155  0.00335
2.01818    65.0566  3.27e-05
2.20155    49.8706  0.000281
7.20149    31.7754  0.000775
0.458392   39.7601  0.0156
3.79846    54.8703  9.41e-05
6.07927    76.4723  8.52e-05
7.96347    48.8939  0.000437
1.91607    77.9312  0.0008
9.90485    44.6404  0.000815
3.41574    72.7137  0.000147
8.20423    70.0257  1.49e-05
6.84931    82.674   6.54e-05
6.07813    93.6817  0.000505
2.1704     24.1514  0.00175
2.56128    38.7409  0.000628
7.58263    55.8157  0.000207
1.73456    65.4082  5.48e-05
6.56598    24.1543  0.000849
6.90567    36.951   0.000622
9.61156    32.5689  0.00119
1.86605    39.5652  0.00109
3.41918    46.944   0.00026
5.08505    78.6251  0.000112
5.56805    59.0555  6.24e-05
7.44196    98.6864  0.00048
8.43581    22.0405  0.00123
1.35694    31.8436  0.00313
2.53397    93.1176  0.00262
5.32301    73.6633  7.41e-05
5.25194    40.907   0.000399
4.64762    84.4529  0.00038
2.13201    83.443   0.00101
9.11783    29.327   0.00118
4.2741     70.2304  5.57e-05
5.68661    58.3807  7.75e-05
4.07373    86.2685  0.000598
5.14616    52.0263  0.000178
8.4848     59.9621  0.000101
5.07575    53.0869  0.000155
1.70444    83.5264  0.00165
4.64517    81.1843  8.59e-05
4.47672    45.6452  0.000277
5.69261    22.2108  0.000796
1.26988    83.9141  0.00348
5.57581    30.0926  0.000631
8.58512    99.3925  0.000381
6.31811    62.4516  1.48e-06
5.27997    74.1708  8.21e-05
8.61371    99.8767  0.000389
8.42342    23.1223  0.0012
7.67465    33.9284  0.000796
5.27657    55.7959  0.000113
4.37424    33.6633  0.000531
9.67823    94.0108  0.00021
8.69499    28.1097  0.00112
4.49659    57.5839  6.47e-05
3.67674    54.4732  9.95e-05
1.08809    70.6345  0.00087
9.54356    68.7026  7.72e-06
9.31887    30.3762  0.00119
6.85108    50.7076  0.000299
6.61302    55.3829  0.000173
3.48156    93.3548  0.00145
8.64069    28.7224  0.0011
8.43432    66.4214  4.25e-06
5.38642    46.5007  0.000295
7.83314    77.3174  5.5e-05
9.26535    81.978   2.78e-05
1.75778    23.5793  0.00267
3.17895    73.6353  0.0002
4.30088    74.058   0.00012
9.33112    24.3945  0.00137
8.66053    33.0868  0.000983
2.08626    70.7446  0.000253
3.70442    71.5657  9.98e-05
3.15135    75.1994  0.000261
2.58026    41.0764  0.000534
3.35822    76.68    0.000271
7.80611    60.7399  6.08e-05
4.03711    35.126   0.000513
2.40688    21.7025  0.00157
2.95498    86.7959  0.00117
9.10208    23.07    0.00136
5.89509    84.118   0.000197
4.96638    77.4822  0.000132
2.25257    35.4713  0.000982
1.65595    99.097   0.00894
4.34837    92.0946  0.000857
7.03874    70.5426  2.28e-05
8.39753    83.4497  6.91e-05
1.16758    67.0127  0.000256
8.5379     69.1089  1.08e-05
4.93627    89.3651  0.00054
6.77946    32.0751  0.000712
1.94335    86.3901  0.00253
4.4282     97.1526  0.00118
2.89405    79.7203  0.000218
0.201096   97.8876  0.473
1.45028    36.0042  0.00221
4.79838    25.7013  0.000691
9.17942    48.4566  0.000577
2.42567    77.4128  0.00052
5.67637    73.499   6.36e-05
5.05327    78.0851  0.000124
9.27347    84.2362  8.75e-05
9.36079    49.9634  0.00054
3.65692    54.8911  9.22e-05
7.99423    77.6341  5.28e-05
2.72566    78.1898  0.000398
4.74412    29.4655  0.000613
1.84325    78.4281  0.000811
7.59245    61.1592  4.45e-05
7.79113    62.5581  1.34e-08
3.65255    63.4182  1.98e-06
5.20858    74.1384  8.38e-05
1.92459    29.1098  0.00181
4.92828    46.03    0.000283
6.59538    51.1284  0.000272
0.736088   88.9283  0.0204
9.51613    20.501   0.00155
6.24532    36.9887  0.000551
2.03975    56.4162  8.35e-05
5.42743    62.2896  4.2e-06
6.99489    42.9361  0.000496
2.68433    33.2495  0.000792
7.5071     87.085   0.000198
9.05037    37.4583  0.000926
8.78014    54.0363  0.000337
8.41276    65.0641  2.03e-06
3.63125    53.447   0.000117
3.20269    23.2283  0.00101
7.16792    73.3529  3.94e-05
6.87581    51.6227  0.000278
5.94937    35.9876  0.000544
8.89338    39.187   0.000847
0.420771   57.7714  0.000238
1.33357    88.5852  0.00632
8.89528    36.9062  0.000916
8.37883    82.2699  3.74e-05
4.11473    94.8785  0.00117
4.34116    44.1348  0.000306
7.64407    66.0291  4.26e-06
2.10592    51.9322  0.000217
6.74686    22.7617  0.000904
5.47119    67.3437  1.44e-05
6.28074    92.5122  0.000435
1.13755    95.7554  0.0148
2.25006    20.2199  0.00187
0.968271   53.4156  0.000683
0.292747   59.9021  2.85e-05
9.57988    27.5492  0.00134
9.58865    90.8073  0.000168
5.65111    43.5443  0.000369
5.95259    37.3673  0.000517
8.26637    33.4967  0.000902
4.66899    62.4292  1.3e-06
6.04116    22.0723  0.00083
1.606      47.6137  0.000687
1.01086    68.7285  0.000608
3.7841     53.6391  0.000115
7.27645    20.0287  0.00106
8.46059    29.128   0.00105
8.45888    58.8277  0.000143
5.21585    59.5967  4.69e-05
1.73448    44.1342  0.000861
2.9035     39.1806  0.000562
9.6997     89.0585  0.000143
7.20986    30.8845  0.000796
4.74962    26.2249  0.00068
1.1514     37.7486  0.00309
9.92608    86.4802  0.000109
2.26093    71.1937  0.00024
0.862062   64.9869  0.000164
5.09516    95.2889  0.000796
4.01758    95.5878  0.00129
7.96946    69.5851  1.41e-05
4.0391     21.5924  0.000836
5.75828    38.7071  0.000474
9.31517    47.7394  0.000619
8.79162    64.7169  1.45e-06
8.32482    22.9843  0.00118
9.36874    27.8522  0.00128
3.34875    51.932   0.000148
2.48648    81.392   0.000305
7.05007    88.6561  0.000256
2.29902    49.6961  0.000273
8.20157    97.2825  0.000363
2.85376    57.877   4.18e-05
1.91219    34.6833  0.0014
4.87136    45.7288  0.000287
2.77339    57.3538  4.97e-05
0.204122   60.5389  1.36e-05
8.41066    33.6477  0.000923
4.57155    89.5687  0.000637
1.13391    98.5322  0.0179
2.11394    88.8256  0.00266
9.34699    85.1148  0.000108
2.51303    36.593   0.000746
2.33637    25.3245  0.00146
2.72372    27.2663  0.00101
1.11744    87.3307  0.00798
2.39976    75.4296  0.000455
0.828272   20.745   0.0124
4.12072    53.6684  0.000119
8.09942    91.7835  0.000252
6.19353    95.2127  0.000543
2.48257    83.0006  0.000558
4.47322    72.1664  7.84e-05
3.633      59.9877  2.26e-05
7.92697    87.5309  0.000185
7.43553    51.5877  0.000318
6.87554    61.1801  3.63e-05
9.6075     84.7341  9.86e-05
7.16864    65.0289  2.71e-06
6.80404    68.4129  1.36e-05
4.10674    41.4246  0.000366
7.24052    98.3831  0.000497
8.02094    73.5997  3.31e-05
8.98643    36.9994  0.000929
8.64542    49.9355  0.000469
6.41493    76.4708  7.68e-05
6.01662    54.6964  0.000162
5.40415    75.6058  9.72e-05
6.35358    58.9693  8.09e-05
9.12969    62.6011  1.79e-08
3.39708    92.432   0.00142
2.8998     29.6709  0.000913
9.14659    53.7133  0.000376
1.3079     92.6472  0.00905
3.07231    81.0267  0.000186
1.02017    38.4691  0.00372
1.70585    75.84    0.000922
6.75418    66.4913  6.75e-06
