       lS     MSdm     omega
2.11126    45.2526  0.00053
4.75201    77.2292  0.000143
2.15869    94.8025  0.00403
7.51005    47.5521  0.000432
6.63197    62.9297  2.03e-07
8.22363    88.1699  0.000182
3.90188    75.9161  0.000189
7.35158    37.9946  0.000654
5.39844    66.9073  1.25e-05
2.70497    74.9148  0.000336
8.16717    42.0265  0.000657
2.55555    78.6191  0.000419
3.66439    96.3824  0.00162
1.87775    44.1106  0.000741
5.4338     95.9123  0.000734
9.26443    30.9349  0.00116
2.54846    73.5445  0.000302
6.67122    89.0805  0.000295
0.508233   25.6122  0.0264
1.52771    80.063   0.000663
4.25423    79.6657  0.000107
9.98401    91.7925  0.000168
0.869825   34.2013  0.00649
1.5838     58.6581  3.84e-05
6.87538    44.2194  0.000454
6.8887     53.9658  0.000221
8.04459    70.2728  1.65e-05
5.7674     29.0331  0.000666
1.30074    37.3755  0.00251
6.37979    52.8482  0.00022
8.32559    40.7161  0.000716
4.97676    84.1391  0.000277
5.20299    67.6025  1.75e-05
3.06887    57.6068  4.63e-05
4.0392     52.191   0.000144
1.48062    24.3246  0.00361
3.37971    66.4736  2.58e-05
7.54729    97.7224  0.000439
8.58289    72.8983  2.56e-05
7.46604    49.2975  0.000381
7.64577    28.9737  0.000907
9.6225     90.1424  0.000158
1.16093    75.8525  0.00194
6.2904     20.0006  0.000905
8.17269    98.7973  0.000404
6.594      72.5154  3.96e-05
0.751219   83.0343  0.00588
6.56027    88.7448  0.000296
1.2914     34.5376  0.003
6.178      94.3188  0.000512
4.37367    20.6405  0.000821
1.02126    22.2832  0.00788
3.90061    67.0582  2.5e-05
0.418054   27.9536  0.035
3.99453    99.7862  0.00171
6.30623    62.2558  6.28e-06
9.22444    90.2343  0.000173
8.72354    35.5554  0.000925
7.25327    32.1867  0.000773
9.86802    31.6769  0.00127
3.88695    66.7312  2.2e-05
4.96994    60.2484  3.33e-05
1.63569    68.9385  0.000254
8.71552    63.3092  2.97e-07
5.84674    74.1577  6.72e-05
5.53059    40.2889  0.000427
7.49545    63.7348  7.65e-07
3.24253    76.3685  0.000283
3.76648    41.4578  0.000377
8.45117    61.8435  2.76e-05
3.41986    35.8822  0.00056
1.2078     55.7327  0.000227
5.64146    65.8965  7.21e-06
0.685661   74.2828  0.00431
5.43943    49.7079  0.000234
2.96481    44.7154  0.000362
9.85014    20.5619  0.00164
0.255393   47.2592  0.0238
4.81851    53.3338  0.000142
7.40261    81.5162  3.77e-05
8.29338    85.3111  0.000139
6.68782    23.002   0.00089
0.22098    74.0478  0.0366
8.19183    75.4939  4.28e-05
0.698844   23.5207  0.0155
4.12077    44.7131  0.000294
3.69314    98.7567  0.00187
5.84824    42.8369  0.000397
6.08906    53.8045  0.000184
1.59107    56.7769  9.54e-05
2.22691    61.9142  2.49e-06
6.31007    52.4944  0.000224
