        lS     MSdm       omega
6.11809     67.7801    1.36e-05
3.79125     47.7587    0.000231
0.862824    82.1663    0.00299
2.23465     79.2844    0.000442
0.661015    75.4509    0.00545
4.30724     96.4546    0.00119
8.08926     24.3207    0.0011
1.46439     50.6653    0.000537
9.62842     91.0457    0.00017
8.46478     81.68      3.04e-05
8.46944     94.0733    0.000274
1.60652     30.1711    0.00245
4.06197     75.84      0.000174
8.15047     74.5858    3.79e-05
0.198692    85.5026    0.187
6.27133     44.4697    0.000396
8.4552      88.4462    0.000177
7.1058      77.6997    6.61e-05
4.13483     94.1124    0.0011
1.42675     74.09      0.00102
9.00308     42.1783    0.000769
1.55765     85.1896    0.00346
0.765222    63.2564    3.19e-05
8.48495     95.7357    0.000307
4.6092      82.2059    0.000117
4.70052     78.5474    0.000133
5.2928      50.2009    0.000218
4.35055     42.6132    0.000338
4.12013     32.6404    0.000565
8.75924     49.7227    0.000487
8.11539     50.7414    0.000396
4.43875     90.732     0.000741
5.9443      42.5362    0.000411
2.48865     26.0479    0.00126
5.55302     89.1698    0.000424
2.53589     84.9301    0.00132
3.95272     35.7592    0.000503
5.95754     49.0777    0.000275
4.68853     93.9896    0.000852
5.74499     90.6361    0.000447
2.94747     72.5286    0.000189
9.28628     89.7197    0.000164
9.86018     91.6635    0.00017
0.140277    39.4152    0.152
2.76997     37.2589    0.000674
0.0768058   54.5825    0.00777
5.72266     56.1521    0.000121
7.54663     24.6002    0.000991
8.69969     96.1038    0.0003
0.141337    75.8615    0.109
6.5323      99.9844    0.000668
6.50328     27.9764    0.000762
9.22131     34.0664    0.00106
3.58644     32.9379    0.000615
3.04719     42.2879    0.000427
6.92369     66.1681    5.54e-06
7.80513     77.7901    5.5e-05
4.68237     83.9154    0.000279
3.67639     38.545     0.000456
9.53739     94.9178    0.000231
4.07133     97.6925    0.00144
6.93986     40.2559    0.000552
0.936414    64.6859    0.000113
9.75202     66.9356    3.99e-06
6.87681     46.8996    0.000391
6.84515     49.9209    0.000316
8.039       56.1744    0.000218
2.8434      85.7314    0.00114
9.25727     43.2672    0.00077
6.85711     38.8993    0.000574
4.00052     43.2975    0.000326
8.22882     22.8637    0.00117
9.02418     35.4316    0.000983
8.52006     59.9622    0.000102
4.12064     75.0992    0.000153
4.38396     92.6162    0.000877
0.990764    92.1105    0.0148
8.80566     67.043     5.09e-06
4.15901     98.7479    0.00148
8.74856     75.0784    3.56e-05
4.30233     90.9781    0.000802
4.31671     40.531     0.000383
1.62231     66.51      0.000109
9.19884     43.052     0.000769
2.15488     48.4634    0.000352
2.61841     26.4313    0.00112
0.214393    68.6146    0.0118
6.05712     20.6697    0.000863
6.54925     64.5771    2.32e-06
0.865241    29.1173    0.00834
4.5634      26.2143    0.000684
1.85574     27.3663    0.00209
8.62686     98.6203    0.00036
4.88889     59.5964    4.19e-05
4.29784     40.9157    0.000375
6.30311     76.4611    7.94e-05
2.62906     58.5876    3.18e-05
1.67384     81.1024    0.000615
3.85354     86.7545    0.000696
8.80419     57.6004    0.000203
6.50106     88.97      0.000307
4.26736     38.9669    0.000417
3.50905     52.9722    0.000126
2.21442     45.8833    0.000454
2.2778      46.0334    0.000423
2.44277     22.9476    0.00146
8.0809      73.3212    3.11e-05
4.79704     97.5674    0.00104
3.39699     47.7841    0.000241
5.19796     56.7116    9.5e-05
9.32237     25.6258    0.00133
6.75706     93.9575    0.00042
1.26235     45.5453    0.00137
1.27861     61.0487    5.38e-06
3.76383     97.8071    0.00169
1.54609     28.9353    0.00278
6.49738     63.5392    7.73e-07
1.13684     99.1896    0.0185
0.0681782   29.6055    1.01
6.19793     64.5737    2.58e-06
3.27843     26.8759    0.000864
0.162259    51.9769    0.0203
8.848       53.716     0.000354
1.54423     60.4938    9.87e-06
9.59864     41.2164    0.000895
6.91825     79.8461    3.74e-05
6.24802     30.9335    0.000673
7.20931     98.0536    0.00049
0.0219847   22.17     11
7.59959     66.7561    6.02e-06
2.50044     49.7264    0.00026
2.20438     60.8788    7.71e-06
8.10234     52.6292    0.000336
7.03451     79.0638    5.34e-05
2.6534      87.5729    0.00154
1.07414     87.1712    0.00849
8.31132     94.4401    0.000291
5.26892     61.7897    1.22e-05
2.35389     39.4968    0.0007
0.582408    49.3386    0.00378
6.48826     44.5666    0.000411
8.38392     83.755     8.32e-05
6.53246     41.9631    0.000473
7.10271     60.7702    5e-05
8.87043     27.639     0.00117
2.95613     80.1273    0.000184
6.86408     23.7733    0.000899
8.41657     29.1911    0.00104
1.37312     73.2205    0.000943
4.26179     95.9294    0.00117
5.54116     37.129     0.000491
4.89332     92.6788    0.000713
2.00027     35.2897    0.00125
5.28868     37.0987    0.000477
0.153934    43.75      0.09
9.67629     83.9482    6.9e-05
7.09953     46.2097    0.000428
0.212676    94.2422    0.332
6.38351     87.6715    0.000285
8.61766     45.2726    0.000618
7.91881     73.0178    3.06e-05
8.57791     37.3113    0.000851
5.83519     21.8866    0.000815
6.32026     27.6872    0.000746
1.5187      56.7096    0.000106
9.75199     45.0892    0.000776
9.40089     23.3414    0.00142
5.27682     44.0879    0.000337
2.56389     81.4918    0.000294
6.40872     77.496     8.09e-05
2.17563     69.5872    0.000175
3.08198     27.6368    0.00091
3.785       60.2835    2.09e-05
0.827987    46.9328    0.00264
1.35436     67.0258    0.000193
7.15084     70.7918    2.35e-05
7.10479     91.8993    0.000327
3.84661     28.8291    0.000683
4.11437     53.2599    0.000126
0.577274    71.1661    0.00334
3.57283     76.6953    0.000241
1.44543     79.8984    0.00076
1.25637     59.2103    3.22e-05
3.67476     88.7013    0.000904
4.82038     83.5039    0.000212
2.83371     54.0199    0.000113
0.538305    35.7559    0.0149
0.472061    66.3055    0.0011
6.70745     99.6731    0.000624
7.27271     27.5739    0.000878
